segundo,emocion_facial,emocion_texto,transcripcion,congruencia
0,angry,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",INCONGRUENCIA
1,fear,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",INCONGRUENCIA
2,fear,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",INCONGRUENCIA
3,neutral,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",Congruente
4,sad,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",INCONGRUENCIA
5,angry,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",INCONGRUENCIA
6,neutral,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",Congruente
7,neutral,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",Congruente
8,fear,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",INCONGRUENCIA
9,neutral,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",Congruente
10,neutral,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",Congruente
11,surprise,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",INCONGRUENCIA
12,surprise,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",INCONGRUENCIA
13,surprise,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",INCONGRUENCIA
14,surprise,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",INCONGRUENCIA
15,surprise,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",INCONGRUENCIA
16,angry,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",INCONGRUENCIA
17,neutral,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",Congruente
18,neutral,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",Congruente
19,neutral,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",Congruente
20,neutral,neutral,"I used to think of the Ted audience as a wonderful collection of some of the most effective,",Congruente
21,sad,neutral,"intelligent, intellectual, savvy, worldly, and innovative people in the world.",INCONGRUENCIA
22,angry,neutral,"intelligent, intellectual, savvy, worldly, and innovative people in the world.",INCONGRUENCIA
23,happy,neutral,"intelligent, intellectual, savvy, worldly, and innovative people in the world.",INCONGRUENCIA
24,angry,neutral,"intelligent, intellectual, savvy, worldly, and innovative people in the world.",INCONGRUENCIA
25,sad,neutral,"intelligent, intellectual, savvy, worldly, and innovative people in the world.",INCONGRUENCIA
26,sad,neutral,And I think that's true.,INCONGRUENCIA
27,neutral,neutral,And I think that's true.,Congruente
28,neutral,neutral,"However, I also have reason to believe that many, if not most, are actually tying your shoes incorrectly.",Congruente
